Section,Area,Category,Status,Criteria,Indicator,Procedure
"Security (Is it safe?)","\nBest Build Practices\n\n","Build Quality","1","The software was built and developed according to the industry's best practices for security.\n\n","The product was built with effectively implemented safety features.",null
"Security (Is it safe?)","\nBest Build Practices\n\n","Build Quality","1","The software was built and developed according to the industry's best practices for security.\n\n","The software does not make use of unsafe functions or libraries.",null
"Security (Is it safe?)","\nBest Build Practices\n\n","Build Quality","1","The software was built and developed according to the industry's best practices for security.\n\n","The software is not overly complex.\n\n",null
"Security (Is it safe?)","\nBest Build Practices\n\n","Build Quality","1","The software was built and developed according to the industry's best practices for security.\n\n","The software was built reproducibly.\n\n",null
"Security (Is it safe?)","\nProduct stability\n\n","Build Quality","2","The software is reliable.\n\n","The software is not susceptible to crashes.\n\nIf the program is forced to unexpectedly terminate, it shuts down in a safe and responsible fashion.\n",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product supports user accounts, it has an authentication system for accessing those accounts",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product is packaged with an account with default credentials, those credentials are unique to the instance of the product",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product has an authentication system, the user must authenticate each time they want to use the product",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product has an authentication system, it requires at least two pieces of information to authenticate users",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication whenever product is activated, or when a device is unreckognized.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it requires that passwords are at least 8 characters long",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, the password/passphrase may be at least 20 characters long",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it requires that passwords are reasonably complex",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it allows all reasonable characters as input",null
"Security (Is it safe?)","Authentication","Data Security","2","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it is compatible with popular password managers.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product that has an authentication system resists attempts to break it","The product allows users to be notified via an out-of-band medium when account security settings are changed.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product that has an authentication system resists attempts to break it","To change a password/passphrase/pin, a user must enter the previous password/passphrase/pin, or have access to a secondary system that is used to reset it.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product that has an authentication system resists attempts to break it","The product notifies users when account security settings have changed.",null
"Security (Is it safe?)","Authentication","Data Security","2","A product that has an authentication system resists attempts to break it","If the product has an authentication system, it also has a system to prevent brute-force/dictionary attacks",null
"Security (Is it safe?)","Encryption\n\n","Data Security","2","Information I provide is encrypted so that it can't be easily read or used by attackers.\n\n","Transmission of user communications or information is encrypted by default.\n\nTransmission of user communications or information is encrypted using unique keys.\n\nUsers can secure their content using end-to-end encryption.\n\nEnd-to-end encryption is enabled by default.\n\nUser information and communications are encrypted by default when at rest.\n\n",null
"Security (Is it safe?)","Known Exploit Resistance","Data Security","2","The product is protected from known software vulnerabilities that present a danger from attackers.","The software is secure against known bugs and types of attacks.",null
"Security (Is it safe?)","Security Oversight","Data Security","1","The company is a responsible caretaker of my data.","The company has systems in place to limit and monitor employee access to user information.\n\nThe company has an internal security team that conducts security audits on the company's products and services.\n\nThe company commissions third-party security audits on its products and services.\nThe company ensures that third-parties who process data on behalf of the company implement the required technical and organizational measures to protect user data.",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","The product life cycle is communicated to the potential owner before purchase.",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Software updates are authenticated.",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Automatic software updates",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Notification of software updates",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Ease of installation of software updates",null
"Security (Is it safe?)","Security over time","Data Security","2","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Software can be kept up-to-date for security issues.",null
"Security (Is it safe?)","Vulnerability disclosure program\n\n","Data Security","1","The company is willing and able to address reports of vulnerabilities.\n\n","The company has a mechanism (ex: a bug bounty program) through which security researchers can submit vulnerabilities they discover.\nThe company discloses the timeframe in which it will review reports of vulnerabilities.\nThe company commits not to pursue legal action against security researchers.\n\n",null
"Security (Is it safe?)","Personal safety","User Safety","3","The company helps me protect myself from grief, abuse, and harassment.","\n\n\n",null
"Privacy (Is it private?)","Data control","Access and Control","1","I can see and control everything the company knows about me.","The definition of 'user information' includes information collected from third-parties.\n\nUsers can control the collection of their information.\n\nUsers can control how their information is used to target advertising.\n\nClear explanation of how users can control whether their information is used for targeted advertising.\n\nUsers can obtain a copy of their information simply and at no cost.\n\nDisclosure of what user information users can obtain\n\nUsers can obtain their information in a structured data format.\n\nUsers can obtain all public-facing and private user information the company hold about them.",null
"Privacy (Is it private?)","Data control","Access and Control","1","I can see and control everything the company knows about me.","Privacy controls exist in the user interface.",null
"Privacy (Is it private?)","Data control","Access and Control","1","I can see and control everything the company knows about me.","Privacy controls in the user interface are effective.",null
