section,area,category,criteria,indicator,procedure
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,Run CheckSec or other tool to determine what application armoring features are present. 
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,"Are there Stack Guards, and if so, are they effectively implemented?  "
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,"Are all safety features available in the pertinent OS enabled? (e.g., ASLR, CFI, RELRO, DEP, etc.)  "
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,"Are those safety features well implemented and/or enabled with optimal settings? (E.g., High Entropy ASLR, rather than just Dynamic Base on Windows 10)  "
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,Attempt installation of apk onto a rooted device. 
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,Connect the test device to a proxy and determine if the application's connection is refused because of a pinning failure.
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,"Search the file system of the test phone and locate the folders relevant to the mobile application. Then, search for any sensitive information (email, usernames, passwords, etc) that the application may have stored. "
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The product was built with effectively implemented safety features.,"Search the file system of the host device for sensitive information (email, usernames, password hashes, etc). Determine if these files are encrypted or meet encryption standards."
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software does not make use of unsafe functions or libraries.,Pull out data from the binary that speaks to developer hygiene.
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software does not make use of unsafe functions or libraries.,The software does not make use of strcpy and other historically unsafe functions.
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software does not make use of unsafe functions or libraries.,"Limited use of older, less historically safe functions. Software uses newer, safer replacements for those functions"
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software does not make use of unsafe functions or libraries.,"What risks are introduced via the libraries that the binary links to, either directly or indirectly?"
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software is not overly complex.,Pull out data from the binary that speaks to code complexity.
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software is not overly complex.,What is the branch density?
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software is not overly complex.,"How many stack adjusts, function calls, etc are there?"
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software is not overly complex.,How complex is the code?
Security,Build Quality,Best Build Practices,The software was built and developed according to the industry's best practices for security. ,The software was built reproducibly.,"If the project is freeware or open source, build the project and verify the output."
